Bug ID,Product,Component,Summary
1389200,Firefox for Android,Activity Stream,"Add ""Save to Pocket"" to context menu options for Pocket Stories"
1389259,Firefox for Android,Activity Stream,Use screenshots for pages in Top Sites for low res icons or non-root domains
1390257,Firefox for Android,Activity Stream,"Default ""letter"" favicons font size seems too small"
1390970,Firefox for Android,Activity Stream,Add Pocket entry point if Pocket isn't installed
1391090,Firefox for Android,Activity Stream,Provide personalized Pocket stories
1391422,Firefox for Android,Activity Stream,Top sites does not properly display unicode domains
1393178,Firefox for Android,Activity Stream,Dismiss/Remove a story from the feed and replace with another Pocket story on New Tab
1394566,Firefox for Android,Activity Stream,"Highlight context menu on tablet announces, ""not checked"" before items"
1395328,Firefox for Android,Activity Stream,Pinning allows users to have more than 2 pages of top sites
1396152,Firefox for Android,Activity Stream,Add test that Highlights does not send a Pocket referrer URI
1396946,Firefox for Android,Activity Stream,Distributions for Activity Stream
1396983,Firefox for Android,Activity Stream, Additional content settings is hard to find
1397854,Firefox for Android,Activity Stream,Activity Stream with all additional content disabled is mostly just an empty screen
1398532,Firefox for Android,Activity Stream,Investigate why Activity Stream home panel (possibly in combination with Photon toolbar changes) makes testSessionOOMSave so crashy
1398836,Firefox for Android,Activity Stream,Activity Stream topsites: off-screen top sites announcements
1398970,Firefox for Android,Activity Stream,Follow-up: optimize appearance top sites favicons
1399294,Firefox for Android,Activity Stream,Activity stream topsites does not announce when a top site is pinned
1400010,Firefox for Android,Activity Stream,Talkback issues for Activity Stream top sites
1400014,Firefox for Android,Activity Stream,"When swiping between top sites items, the ""Top sites multipage view"" is announced"
1400398,Firefox for Android,Activity Stream,Non-image extracted from getpocket trending for page image url
1400836,Firefox for Android,Activity Stream,Make mobile Top Sites follow desktop's tile selection rules (e.g. only one page per subdomain.domain)
1401045,Firefox for Android,Activity Stream,Considering adding telemetry for when we fail to load a non-favicon image for Highlights/Pocket
1401178,Firefox for Android,Activity Stream,Sites synced from desktop unexpectedly don't appear in top sites
1402030,Firefox for Android,Activity Stream,"Pocket MORE button announces ""more"" but lacks Pocket visual context"
1402521,Firefox for Android,Activity Stream,"Add ""options"" shortcut to snackbar for bookmarking in Activity Stream"
1402541,Firefox for Android,Activity Stream,StrictMode violations while updating top site titles in Activity Stream
1402961,Firefox for Android,Activity Stream,Improve transition (animations) into Activity Stream
1403139,Firefox for Android,Activity Stream,Top Sites menu is not scrollable
1403164,Firefox for Android,Activity Stream,Can't remove a pinned site
1403354,Firefox for Android,Activity Stream,"Top sites without local visits have a no-op ""Remove"" context menu item (non no-op for suggested sites)"
1403995,Firefox for Android,Activity Stream,HomePager makes Talkback announcements outside current tab
1404110,Firefox for Android,Activity Stream,Custom pinned sites from old top sites that have not been visited are not well supported
1404260,Firefox for Android,Activity Stream,Top Sites are reduced to only 3 when performing sync
1404820,Firefox for Android,Activity Stream,Double context menu opened
1405161,Firefox for Android,Activity Stream,Move getIsEnabled configuration functions (e.g. highlights) to ActivityStreamConfiguration
1408846,Firefox for Android,Activity Stream,User can share/bookmark in Guest Mode through Activity Stream context menu
1410833,Firefox for Android,Activity Stream,New Tab should be displayed from the top
1411992,Firefox for Android,Activity Stream,Remove separating line if nothing else is displayed in the Top Sites section
1415954,Firefox for Android,Activity Stream,Consider adding Pocket integration probes to verify correct behavior
1416049,Firefox for Android,Activity Stream,Fallback to cached data when Pocket request fails
1417371,Firefox for Android,Activity Stream,Pocket/Highlights open menu animation is restricted
1420479,Firefox for Android,Activity Stream,"Top Sites settings does not make it clear that ""Recent bookmarks"" and ""Visited"" change Highlights section"
1424783,Firefox for Android,Activity Stream,Top Site thumbnails in awesomescreen no longer appear
1428017,Firefox for Android,Activity Stream,Switch to tab does not work for Top Sites tiles
1038960,Firefox for Android,Activity Stream,Unable to pin top site: foreign key constraint failed; bookmark is missing pinned parent?
1314902,Firefox for Android,Activity Stream,Remove duplicated vector icons
1401519,Firefox for Android,Activity Stream, Top Sites area is still scrollable after reaching the end of a pannel
1406046,Firefox for Android,Activity Stream,Intermittent testActivityStreamPocketReferrer | Expected Tab:Load to be called -
1332621,Firefox for Android,Activity Stream,Duplicate top sites due to multiple redirects being introduced in history
1400824,Firefox for Android,Activity Stream,Can't reorder the pinned sites
1390368,Firefox for Android,Activity Stream,"Intermittent testActivityStreamContextMenu | Title does not match expected title - got Pin Site, expected Unpin Site"
1308582,Firefox for Android,Add-on Manager,Disabling installed Add-ons does not work properly
1233548,Firefox for Android,Add-on Manager,"Firefox for Android shows dialogs with ""The add-on from ... could not be installed ..."""
841793,Firefox for Android,Add-on Manager,We should display add-ons that don't work on private windows/tabs differently
887201,Firefox for Android,Add-on Manager,No obvious way to update extensions in Firefox for Android
895032,Firefox for Android,Add-on Manager,Do not initialize addon-manager related components on startup if no addons are installed
946617,Firefox for Android,Add-on Manager,Adding an add-on from our addons site doesn't give a download progress notification
1010752,Firefox for Android,Add-on Manager,Add-ons Manager becomes horizontally scrollable after changing orientation
1049864,Firefox for Android,Add-on Manager,Investigate why the test for bug 687194 fails on Android
1053402,Firefox for Android,Add-on Manager,UX work - Surface addons in browser chrome
1063245,Firefox for Android,Add-on Manager,Unable to copy or paste in add-on settings within the add-on manager
1108763,Firefox for Android,Add-on Manager,Lightweight themes are disabled in add-on manager if installed while about:addons is opened
1173896,Firefox for Android,Add-on Manager,No UI to explain disabled blocklisted add-ons
1194125,Firefox for Android,Add-on Manager,Show warning in add-on manager list for add-ons that aren't properly signed
1196203,Firefox for Android,Add-on Manager,Re-opening an add-on page from the history might show desktop installation screen
1197535,Firefox for Android,Add-on Manager,Installing the same extension multiple times when installing the extension the first time is buggy
1202379,Firefox for Android,Add-on Manager,Firefox for Android should be clearer when failing to install add-ons compatible only with desktop version
1225969,Firefox for Android,Add-on Manager,Add a way to install addons from the Play Store
1230292,Firefox for Android,Add-on Manager,Improve failure message when installing via direct links to an addons XPI fails
1256717,Firefox for Android,Add-on Manager,Possibly use the new disco pane
1348595,Firefox for Android,Add-on Manager,Intermittent dom/media/test/test_load.html | Test timed out.
1400818,Firefox for Android,Add-on Manager,Update icon overlaps the description text from extension in about:addons web page
1433670,Firefox for Android,Add-on Manager,Add-on install whitelist occasionally forgets addons.mozilla.org
1091237,Firefox for Android,Add-on Manager,Show more information in add-ons detail view in about:addons
1079504,Firefox for Android,Add-on Manager,Improve about:addons if user has no add-ons installed
1345092,Firefox for Android,Add-on Manager,No security warning displayed for a softblocked WebExtension in about:addons.
1346210,Firefox for Android,Add-on Manager,Make it easier to install popular add-ons like uBlock Origin or AdBlock on Firefox for Android
1391581,Firefox for Android,Add-on Manager,Implement notification flow for addon updates
1392924,Firefox for Android,Add-on Manager,Add telemetry for Android add-on install prompts
1397051,Firefox for Android,Add-on Manager,Support non-png icons in android permission prompts
1428003,Firefox for Android,Add-on Manager,White screen after putting a theme in preview
1027535,Firefox for Android,Add-on Manager,Addon Manager doesn't provide enough details in case of blocklisted addons
1360260,Firefox for Android,Add-on Manager,aboutAddons.properties hardcodes Firefox
1400809,Firefox for Android,Add-on Manager,Version number is not updated in the extension's detailed page from about:addons
1402790,Firefox for Android,Add-on Manager,Addon options menus don't appear after re-enabling
1034102,Firefox for Android,Add-on Manager,AddonManager.jsm initialization delays startup
1289690,Firefox for Android,Add-on Manager,Addons icon in url bar display is not normal
785899,Firefox for Android,Android Sync,"Significant freezes during operation, when Firefox sync is enabled"
826127,Firefox for Android,Android Sync,mobile sync with own server does not work
843353,Firefox for Android,Android Sync,Startcom certificates won't be accepted for custom mozilla sync server.
883617,Firefox for Android,Android Sync,Sync fails on second android 4.2 user account.
1335922,Firefox for Android,Android Sync,mobile sync doesn't sync bookmarks
1417065,Firefox for Android,Android Sync,Setting up sync shows that the confirmation e-mail was not received
1418288,Firefox for Android,Android Sync,Could not able to login to the application
1418567,Firefox for Android,Android Sync,Sync device disappears from desktop Firefox after upgrading to 57
1427180,Firefox for Android,Android Sync,Fennec should consider syncing addons and extension storage data
1434066,Firefox for Android,Android Sync,sync does not work
802514,Firefox for Android,Android Sync,Confusing Firefox Sync Pairing UI on Nexus 7 (related to Jelly Bean?)
779450,Firefox for Android,Android Sync,Received tabs are lost upon restart/update
798218,Firefox for Android,Android Sync,Implement storage format 6 crypto libraries for Android Sync
815773,Firefox for Android,Android Sync,Make Android Sync process locally generated client commands
833907,Firefox for Android,Android Sync,Clearing history should wipe server and remote clients (Android)
837864,Firefox for Android,Android Sync,Fix UseValueOf and other warnings
846873,Firefox for Android,Android Sync,Listen for CONNECTIVITY_CHANGE events so we can cancel alarms when network is offline (or use JobScheduler?)
867382,Firefox for Android,Android Sync,Integrate Android Sync setup UI into Fennec Settings UI
895991,Firefox for Android,Android Sync,Background services should stop when we receive battery and network warning intents
1000864,Firefox for Android,Android Sync,Sync options dialog can be accessed from Firefox menu only after the initial sync ends
1385454,Firefox for Android,Android Sync,"on Android, ""verify your account"" option is not available when the user changes password from other device"
1408823,Firefox for Android,Android Sync,Android should limit the number of tabs synced.
1417271,Firefox for Android,Android Sync,Android sync error telemetry should report more meaningful errors.
1432998,Firefox for Android,Android Sync,Replace httpClient with modern networking APIs
1433778,Firefox for Android,Android Sync,Synchronize reader mode state (or reading list) across Firefox products
1434311,Firefox for Android,Android Sync,Reuse the onboarding design for Synced Devices panel
769476,Firefox for Android,Android Sync,bookmarks reordered on desktop after syncing with android
1301827,Firefox for Android,Android Sync,Error storing records during sync: nested transactions are not supported
1332094,Firefox for Android,Android Sync,Incremental sync follow up: transactionally merge buffers
1352947,Firefox for Android,Android Sync,Android writes many root folders with children missing or in the wrong order
1413662,Firefox for Android,Android Sync,Label more entrypoints to Sync so fewer are unlabelled
1428496,Firefox for Android,Android Sync,It's possible for sync to fail to de-dupe incoming duplicate history records
809214,Firefox for Android,Android Sync,Implement ContentProvider for propagating Android Sync information back to Fennec
968592,Firefox for Android,Android Sync,Use expired tokens for info/collections fetches
972053,Firefox for Android,Android Sync,"Don't immediately show ""Tap to sign in"" notification when just entered Engaged state"
708066,Firefox for Android,Android Sync,Implement frecency and sortindex calculation for history records
709185,Firefox for Android,Android Sync,Revisit JSON parsing for efficiency and code quality
709378,Firefox for Android,Android Sync,Verify safety versus Android limits
709404,Firefox for Android,Android Sync,Favicon sync repository layer
709405,Firefox for Android,Android Sync,Add-on sync repository layer
713939,Firefox for Android,Android Sync,Provide a mechanism for fetch rate-limiting
715395,Firefox for Android,Android Sync,Ensure that we ask for compression when making HTTP requests
717436,Firefox for Android,Android Sync,SyncConfiguration.loadFromPrefs should be async to avoid strict mode violations
720306,Firefox for Android,Android Sync,Impose sensible time limits on Sync operations
721887,Firefox for Android,Android Sync,Handle clock skew when processing records
724212,Firefox for Android,Android Sync,Lift JSON parsing out of JPakeClient
726055,Firefox for Android,Android Sync,[meta] More considered handling of when to sync
728975,Firefox for Android,Android Sync,Lift common implementation in initFromPayload and getPayload from record subclasses to Record
730395,Firefox for Android,Android Sync,Sync progress icon doesn't disappear for 30 seconds after sync finishes
736350,Firefox for Android,Android Sync,Aborting is messy after HTTP connections are closed
741986,Firefox for Android,Android Sync,Follow up: Adjust sync interval on successful pairing of devices
742166,Firefox for Android,Android Sync,Take advantage of update-or-insert operation in history provider
746232,Firefox for Android,Android Sync,Handle failure to display J-PAKE code on connection errors.
746292,Firefox for Android,Android Sync,Group received tabs by sender & include sender data
756763,Firefox for Android,Android Sync,Android Sync can't accept self-signed certificates (or roots unknown to Android) for custom Sync servers on Android 2
758242,Firefox for Android,Android Sync,Provide feedback to user that we can't sync passwords with MP enabled
786393,Firefox for Android,Android Sync,Upgrading two org.mozilla.firefox_sync apps from prefs version 0 to prefs version 1 could lead to duplicate client IDs
787501,Firefox for Android,Android Sync,Support upload-only Android sync
789021,Firefox for Android,Android Sync,Sync doesn't use the certificates from the Android system certificate store on 4.0.4 on some devices
799120,Firefox for Android,Android Sync,Show only the connected devices in Send Tab To Device list
817050,Firefox for Android,Android Sync,Android Sync should allow you to reset and wipe your local client
942652,Firefox for Android,Android Sync,Proxy support for background services
949046,Firefox for Android,Android Sync,"Reduce sync intervals, expose in SharedPreferences"
958879,Firefox for Android,Android Sync,"Ship Fira Sans for Android, beginning with FxA native UI"
959900,Firefox for Android,Android Sync,Display messaging when a user logs out or logs in to a different Firefox Account
968021,Firefox for Android,Android Sync,Track changes in content providers other than BrowserProvider
968588,Firefox for Android,Android Sync,"Reuse tokens between syncs, assuming enough time remains before expiry"
971972,Firefox for Android,Android Sync,"Back off sync frequency, or hard error, if we repeatedly fail to sync"
974664,Firefox for Android,Android Sync,Remove reading list hacks in sync code
978390,Firefox for Android,Android Sync,No easily discoverable way to clear pending Sync setup
979373,Firefox for Android,Android Sync,Merge Sync Status activity into Fennec Settings on tablet
984512,Firefox for Android,Android Sync,Show Sync history as part of FxAccount status activity
1008089,Firefox for Android,Android Sync,Crash on send tab to device
1058298,Firefox for Android,Android Sync,Ensure that the local tabs database contains only tabs for active remote clients
1068374,Firefox for Android,Android Sync,Move code for Remote Clients/Tabs into org.mozilla.gecko.remotetabs
1068378,Firefox for Android,Android Sync,"Add device type icon, last synced, and number of synced tabs to RemoteClientsDialogFragment"
1098501,Firefox for Android,Android Sync,Track password changes to enable three-way merges
1117137,Firefox for Android,Android Sync,Background services should use a wifi lock
1160526,Firefox for Android,Android Sync,Sync not syncing tabs in reader view
1171137,Firefox for Android,Android Sync,Include Firefox Account profile avatar and email address in Fennec context menu
1204559,Firefox for Android,Android Sync,Remove org.json.simple from android-sync code base
1291823,Firefox for Android,Android Sync,Structured record application for sync on Android
1316110,Firefox for Android,Android Sync,Incremental sync follow up: user 'older' parameter to make recent history stage more efficient
1318515,Firefox for Android,Android Sync,Incremental sync follow up: database-backed bookmarks buffer
1332431,Firefox for Android,Android Sync,Address failures to commit/purge various SharedPreferences used by Sync
1346751,Firefox for Android,Android Sync,Incoming tab isn't opened when notification is dismissed
1346956,Firefox for Android,Android Sync,Make tab received/tab from device name copy consistent across with desktop
1362208,Firefox for Android,Android Sync,Sync ping follow up: record more than just the last store exception
1382666,Firefox for Android,Android Sync,Do not collect sync telemetry for self-hosted clients
1387113,Firefox for Android,Android Sync,Remove the forced client collection sync after every update
1392353,Firefox for Android,Android Sync,Don't validate bookmarks on android if telemetry is off
1401415,Firefox for Android,Android Sync,"Garbage collection fails sometime during sync, crashes: GC tried to mark invalid reference 0xa0"
1409209,Firefox for Android,Android Sync,Warn users on disconnect of Sync that their data will not be deleted from the device
1409211,Firefox for Android,Android Sync,Warn users about data merge at Sign-In If there is already data in their device
1412650,Firefox for Android,Android Sync,Switch services.* code to use HttpsURLConnection
1415962,Firefox for Android,Android Sync,"Allow Android to run TPS tests, or some equivalent."
1418408,Firefox for Android,Android Sync,"Send tab to device:- If I have only one other device, don't show list of devices(same for Firefox Desktop)"
1346324,Firefox for Android,Android Sync,Allow sending to multiple devices from Android
707238,Firefox for Android,Android Sync,Consume BrowserProfiles CP to select local repository implementation
708521,Firefox for Android,Android Sync,Correctly abort when interrupted by Android 'Cancel Sync'
709371,Firefox for Android,Android Sync,Persist failed records for retry and error muffling
709387,Firefox for Android,Android Sync,createSession (or Repository itself) should dispatch on database type
709395,Firefox for Android,Android Sync,Better reporting of errors
715047,Firefox for Android,Android Sync,remove (or justify) dependency on external libraries
725916,Firefox for Android,Android Sync,Optimization: special-case first syncs to avoid store tracking
733298,Firefox for Android,Android Sync,"Consistency between ""Pair a Device"" and J-PAKE setup screens"
779398,Firefox for Android,Android Sync,StrictMode violation in Blur settings handler
802723,Firefox for Android,Android Sync,Sync error logging during large failed upload/download drains battery
809215,Firefox for Android,Android Sync,Make Android Sync propagate information back to Fennec ContentProvider
979903,Firefox for Android,Android Sync,Inconsistency at entries in Settings
1054569,Firefox for Android,Android Sync,Replace RepoUtils.stringsEqual with TextUtils.equal
814750,Firefox for Android,Android Sync,Use execution queue in GlobalSession.advance
985504,Firefox for Android,Android Sync,Solicit user credentials once on receiving invalid-client-state response from server
777800,Firefox for Android,Android Sync,Support syncing multiple Android Accounts of the same type
783692,Firefox for Android,Android Sync,Implement FennecTabsRepositorySession.fetch and .guidsSince.
793050,Firefox for Android,Android Sync,X-If-Unmodified-Since is sometimes -0.001
949054,Firefox for Android,Android Sync,Explore efficiency improvements for short-circuit syncs
958893,Firefox for Android,Android Sync,Implement backoff protocol for Android FxAccountClient20
960880,Firefox for Android,Android Sync,Use AbstractAccountAuthenticator interface to retrieve tokens
1007163,Firefox for Android,Android Sync,Add an about:sync-logs equivalent to Android
1259701,Firefox for Android,Android Sync,"Master Password is no longer enabled, but FxA sticks around, after clearing App Data in Android settings"
1329832,Firefox for Android,Android Sync,"StrictMode violation, leaked contentProvider in FormHistoryRepositorySession"
1337720,Firefox for Android,Android Sync,Add sync option for themes and add-ons
1351389,Firefox for Android,Android Sync,Write additional tests for TestTabsProvider
1407438,Firefox for Android,Android Sync,Fix Android's use of server configuration limits to line up with the server
1352931,Firefox for Android,Android Sync,First sync on Android uploads mobile bookmarks but not the mobile root
1360359,Firefox for Android,Android Sync,Round-tripping Form Autofill sync engine
759548,Firefox for Android,Android Sync,"Surface UI for saving, sharing, and deleting Android Sync logfiles"
1102924,Firefox for Android,Android Sync,Sync search history into search history provider
1051707,Firefox for Android,Android Sync,Reduce use of proxy methods and generated getters in 'sync' code
972686,Firefox for Android,Android Sync,Provide an in-app way for users to submit Sync error reports
851380,Firefox for Android,Android Sync,"Switch to an incrementing version count for changes, rather than timestamps"
1073680,Firefox for Android,Android Sync,not all passwords are sync'd between FF desktop and FF for Android
1427803,Firefox for Android,Android Sync,sync now without auto-sync
1251220,Firefox for Android,Audio/Video,White status bar in video fullscreen mode
1358429,Firefox for Android,Audio/Video,play video on Youtube are always stuck
1360923,Firefox for Android,Audio/Video,"Firefox on android only capturing headset microphone (very low gain, inaudible at normal volumes)"
1362349,Firefox for Android,Audio/Video,youtube video content is downloaded but i can't play it
1362955,Firefox for Android,Audio/Video,Impossible to close a new tab opened in fullscreen mode
1360408,Firefox for Android,Audio/Video,Videos are dark black and white misaligned rectangles after the new Firefox android update.
1237245,Firefox for Android,Audio/Video,Video Playback not Smooth. Video JANK and JUDDER.
1307069,Firefox for Android,Audio/Video,audio playback stutters when firefox is in background
1158449,Firefox for Android,Audio/Video,[WebRTC] Enable SetRates feature for WebRTC HW acceleration using android.media.MediaCodec
1315448,Firefox for Android,Audio/Video,latest nighlty 52 crashes when playing embedded video on androud
1413222,Firefox for Android,Audio/Video,Video is upside down when drawn on canvas
1224916,Firefox for Android,Audio/Video,Android: Allow to play videos in/on background mode
1317712,Firefox for Android,Audio/Video,Slow HTML5 video player
1331303,Firefox for Android,Audio/Video,No Audio during playback on rooted Pixel
1338509,Firefox for Android,Audio/Video,Unable to use Video Landscap mode
1340815,Firefox for Android,Audio/Video,You have to switch orientation to get full  screen  video
1341113,Firefox for Android,Audio/Video,issues with videos from www.fastvideo.me
1346584,Firefox for Android,Audio/Video,youtube web interface stays in small screen - unable to open fullscreen
1264260,Firefox for Android,Audio/Video,Webm videos have no image when opened in new tab on Galaxy S6 Edge device
1153860,Firefox for Android,Audio/Video,Autophone - PROCESS-CRASH | dom/media/test/test_played.html | application crashed [@ libc.so + 0x17ee4]
1258259,Firefox for Android,Audio/Video,[Meta]Performance improvement on audio/video playback
1264840,Firefox for Android,Audio/Video,[Meta] Support EME on Fennec
1268367,Firefox for Android,Audio/Video,[meta] Fennec Audio Controls Enhancement -remote media control and audio competing
1268368,Firefox for Android,Audio/Video,[meta] Fennec Media Controls
1313330,Firefox for Android,Audio/Video,embedded YouTube video goes full-screen only after rotating the device
1316254,Firefox for Android,Audio/Video,Video control should make adjustment to controls' appearance in different video sizes
1340169,Firefox for Android,Audio/Video,Add EME UI to Fennec
1345741,Firefox for Android,Audio/Video,dom/media/test/test_playback.html | application timed out after 330 seconds with no output
1347756,Firefox for Android,Audio/Video,Intermittent dom/media/test/test_progress.html | Test timed out!
1347953,Firefox for Android,Audio/Video,Intermittent dom/media/test/test_video_to_canvas.html | java-exception java.lang.NullPointerException: Attempt to invoke virtual method 'void org.mozilla.gecko.media.JellyBeanAsyncCodec$CallbackSender.notifyError(int)' on a null object reference
1348141,Firefox for Android,Audio/Video,Intermittent dom/media/test/test_standalone.html | Test timed out.
1348581,Firefox for Android,Audio/Video,Intermittent dom/media/test/test_progress.html | seek-short.webm-4 timed out!
1348594,Firefox for Android,Audio/Video,Intermittent dom/media/test/test_bug1113600.html | gizmo-short.mp4-10 timed out!
1349506,Firefox for Android,Audio/Video,Favicon is too small compared with Chrome
1349523,Firefox for Android,Audio/Video,Play Video in PIP mode with Android O framework support
1356169,Firefox for Android,Audio/Video,Intermittent dom/media/test/test_video_in_audio_element.html | java-exception java.lang.NullPointerException at org.mozilla.gecko.media.JellyBeanAsyncCodec$BufferPoller.handleMessageLocked(JellyBeanAsyncCodec.java:208)
1357984,Firefox for Android,Audio/Video,[META] Test case for HLS native supprts
1359078,Firefox for Android,Audio/Video,Autophone webgl-conf failures
1362271,Firefox for Android,Audio/Video,[META] Extend the blacklist of disabling adaptive playback feature
1362304,Firefox for Android,Audio/Video,Intermittent remoteautomation.py | application crashed [@ libc.so + 0x3a9aa]
1367109,Firefox for Android,Audio/Video,Intermittent dom/media/tests/mochitest/test_peerConnection_basicVideoRemoteHwEncoder.html | application timed out after 330 seconds with no output
1369270,Firefox for Android,Audio/Video,Youtube frame tearing
1380588,Firefox for Android,Audio/Video,Vimeo & cnn video's pause button doesn't change if paused form the media notification remote control
1308205,Firefox for Android,Audio/Video,"While in landscape, HLS videos are played in FullScreen"
1412228,Firefox for Android,Audio/Video,WebRTC issue in v57.0b11
1267141,Firefox for Android,Audio/Video,Enable GMP Clearkey support on Fennec.
1254427,Firefox for Android,Audio/Video,[meta] Enable dom/media/test/ mochitests on Android
1296969,Firefox for Android,Audio/Video,Seeking on Andrioid shows multiple frames
1307074,Firefox for Android,Audio/Video,Switching tabs will stop the HLS player
1307078,Firefox for Android,Audio/Video,Interrupting an HLS video with Task manager will lead to incorrect video resume
1325921,Firefox for Android,Audio/Video,Crash in java.lang.NullPointerException: Attempt to read from field ''int android.media.MediaCodec$BufferInfo.offset'' on a null object reference at android.os.Parcel.readException(Parcel.java)
1326144,Firefox for Android,Audio/Video,YouTube AV unsync on Fennec
1328141,Firefox for Android,Audio/Video,popup unclosable during video fullscreen
1339990,Firefox for Android,Audio/Video,Videos on napolitoday.it are cut off
1345752,Firefox for Android,Audio/Video,[META][HLS] Make Gecko native support HLS on Fennec
1377873,Firefox for Android,Audio/Video,Issues with videos when changing device orientation
1382216,Firefox for Android,Audio/Video,Fullscreen video seekbar covered by some device's system buttons
1398821,Firefox for Android,Audio/Video,"Privacy leak reproducing an html5 video, even if in private browsing. Firefox puts a notification in the android notification bar with page title. This notification appears in android notifications log, even if you browsed in private mode"
1410452,Firefox for Android,Audio/Video,Media control doesn't show on lock screen
1310899,Firefox for Android,Audio/Video,"HLS VideoView prevents interacting with page, requires back button to close."
1376963,Firefox for Android,Audio/Video,[Fennec] Fix defects in RemoteMediaDrmBridgeStub
1368902,Firefox for Android,Audio/Video,Enable reftest short.mp4.firstframe-ref.html on fennec.
1386562,Firefox for Android,Audio/Video,Enable test_VideoPlaybackQuality.html on Fennec.
1392923,Firefox for Android,Audio/Video,Do not transit to dormant state immediately if mMinimizePreroll is true?
1393368,Firefox for Android,Audio/Video,"Enable tests ""test_seek-1 ~ test_seek-14"" on Fennec."
1317362,Firefox for Android,Audio/Video,Autophone - nexus 5 / android 4.4 mochitest dom media failures
1386626,Firefox for Android,Audio/Video,[Meta] Media data saving on Fennec
1210164,Firefox for Android,Audio/Video,Full-screen video should have touchscreen-friendly controls
1277020,Firefox for Android,Audio/Video,Full Screen doesn't re-hide notification bar after temporarily showing it
1282678,Firefox for Android,Audio/Video,[webvtt] Consider adding closed caption button to mobile video control
1287683,Firefox for Android,Audio/Video,[Meta] Add Android tests for Fennec media controls and audio focus
1295398,Firefox for Android,Audio/Video,Media volume control remains active after pushing Firefox to the background
1296090,Firefox for Android,Audio/Video,HTML5 video controls' buttons are tiny on html5demos.com (and other sites?)
1297602,Firefox for Android,Audio/Video,Start time format is switched when moving the process bar (Video length > 60 mins)
1303656,Firefox for Android,Audio/Video,Unnecessary white area  shows up during rotating phone with full screen video playback.
1304268,Firefox for Android,Audio/Video,Permanently record telemetry data for MEDIA_DECODING_PROCESS_CRASH
1322151,Firefox for Android,Audio/Video,Android support for UVC/v4l2 devices with getUserMedia and the MediaDevices API
1338950,Firefox for Android,Audio/Video,Video fullscreen doesn't work in Firefox
1365543,Firefox for Android,Audio/Video,[Fennec][HLS] Revert changes in Bug 1341990 Part 2 once Fennec builds against Android SDK 24.
1366170,Firefox for Android,Audio/Video,Enable dom/media/test/test_bug465498.html on Android
1370699,Firefox for Android,Audio/Video,Reconsider complicated machinery for releasing video buffers
1371247,Firefox for Android,Audio/Video,[Fennec][HLS] Fix potential defects in exoplayer2.
1373519,Firefox for Android,Audio/Video,Please add a option to enable permanent playback control of videos
1374202,Firefox for Android,Audio/Video,Fix intermittent failure [ TEST-UNEXPECTED-FAIL | testMediaControl | Should not have notification in system's status bar. - Check system notification.]
1374956,Firefox for Android,Audio/Video,Enable dom/media/test/test_playback_rate.html on Android
1377520,Firefox for Android,Audio/Video,[Fennec][HLS] Support encrypted HLS content playback
1378303,Firefox for Android,Audio/Video,Enable AOSP built-in Clearkey support via MediaDrm on Fennec.
1382905,Firefox for Android,Audio/Video,"dom/media/test/test_videoPlaybackQuality_totalFrames.html | seek-short.webm totalFrames should match! - got 2, expected 8"
